code,ergp_line_item,status,amount,mda_code,agency,mother_ministry
ERGP30102445,UPGRADE OF STATE HOUSE LIBRARY,ONGOING,"9,028,123",111001001,STATE HOUSE - HQTRS,
ERGP30114992,DIGITAL MEDICAL REFERENCES FOR THE STATE HOUSE LIBRARY,ONGOING,"3,219,762",111001001,STATE HOUSE - HQTRS,
ERGP6101477,REHABILITATION OF ANIMAL ENCLOSURE/PROCUREMENT OF VET LAB EQUIPMENT,ONGOING,"21,850,216",111001001,STATE HOUSE - HQTRS,
ERGP6114996,CONVERSION/UPGRADE OF VILLA RANCH AND CONSTRUCTION OF WILDLIFE CONSERVATION CAPTURE,ONGOING,"38,466,135",111001001,STATE HOUSE - HQTRS,
ERGP6114997,"PURCHASE OF PLANT NURSERY EQUIPMENT FOR PRODUCTION OF LOCAL FLOWERS FOR ROUTINE FLORAL ARRANGEMENT, IRRIGATION AND UPGRADE OF HELIPAD",ONGOING,"26,912,671",111001001,STATE HOUSE - HQTRS,
ERGP7101471,SYSTEMATIC COLLECTION AND ASSESSMENT OF DATA ABOUT PROJECTS AND PROGRAMMES TO AID MANAGEMENT TO MAKE DECISIONS.,ONGOING,"17,614,879",111001001,STATE HOUSE - HQTRS,
ERGP7102420,"PURCHASE OF VARIOUS OFFICE EQUIPMENT FOR THE ADMIN, FINANCE & ACCOUNTS WORKS, ICT, PROCUREMENT, PRS AND AUDIT DEPARTMENTS",ONGOING,"39,255,404",111001001,STATE HOUSE - HQTRS,
ERGP26102464,"PURCHASE OF SPORTING EQUIPMENT FOR STATE HOUSE SPORTS CLUB.
",ONGOING,"8,970,837",111001001,STATE HOUSE - HQTRS,
ERGP26223957,PROCUREMENT /MAINTENANCE OF EQUIPMENT FOR THE STATE HOUSE CENTRAL GYMNASIUM,ONGOING,"11,713,350",111001001,STATE HOUSE - HQTRS,
ERGP27101865,RENOVATION WORK ON 8 NO. BLOCKS OF 16 NO. 2 B/R FLATS AT STATE HOUSE SECURITY QUARTERS.,ONGOING,"84,198,642",111001001,STATE HOUSE - HQTRS,
