,code,ergp_line_item,status,amount,mda_code,agency,mother_ministry
0,ERGP30102445,UPGRADE OF STATE HOUSE LIBRARY,ONGOING,9028123.0,111001001,STATE HOUSE - HQTRS,
1,ERGP30114992,DIGITAL MEDICAL REFERENCES FOR THE STATE HOUSE LIBRARY,ONGOING,3219762.0,111001001,STATE HOUSE - HQTRS,
2,ERGP6101477,REHABILITATION OF ANIMAL ENCLOSURE/PROCUREMENT OF VET LAB EQUIPMENT,ONGOING,21850216.0,111001001,STATE HOUSE - HQTRS,
3,ERGP6114996,CONVERSION/UPGRADE OF VILLA RANCH AND CONSTRUCTION OF WILDLIFE CONSERVATION CAPTURE,ONGOING,38466135.0,111001001,STATE HOUSE - HQTRS,
4,ERGP6114997,"PURCHASE OF PLANT NURSERY EQUIPMENT FOR PRODUCTION OF LOCAL FLOWERS FOR ROUTINE FLORAL ARRANGEMENT, IRRIGATION AND UPGRADE OF HELIPAD",ONGOING,26912671.0,111001001,STATE HOUSE - HQTRS,
5,ERGP7101471,SYSTEMATIC COLLECTION AND ASSESSMENT OF DATA ABOUT PROJECTS AND PROGRAMMES TO AID MANAGEMENT TO MAKE DECISIONS.,ONGOING,17614879.0,111001001,STATE HOUSE - HQTRS,
6,ERGP7102420,"PURCHASE OF VARIOUS OFFICE EQUIPMENT FOR THE ADMIN, FINANCE & ACCOUNTS WORKS, ICT, PROCUREMENT, PRS AND AUDIT DEPARTMENTS",ONGOING,39255404.0,111001001,STATE HOUSE - HQTRS,
7,ERGP26102464,"PURCHASE OF SPORTING EQUIPMENT FOR STATE HOUSE SPORTS CLUB.
",ONGOING,8970837.0,111001001,STATE HOUSE - HQTRS,
8,ERGP26223957,PROCUREMENT /MAINTENANCE OF EQUIPMENT FOR THE STATE HOUSE CENTRAL GYMNASIUM,ONGOING,11713350.0,111001001,STATE HOUSE - HQTRS,
9,ERGP27101865,RENOVATION WORK ON 8 NO. BLOCKS OF 16 NO. 2 B/R FLATS AT STATE HOUSE SECURITY QUARTERS.,ONGOING,84198642.0,111001001,STATE HOUSE - HQTRS,
10,ERGP27201255,"CONSTRUCTION OF OFFICE COMPLEX FOR Sas and SSAs
",ONGOING,1281548143.0,111001001,STATE HOUSE - HQTRS,
11,ERGP27223750,"ANNUAL ROUTINE MAINTENANCE OF MECHANICAL/ELECTRICAL INSTALLATION, BUILDING/CIVIL AND ENVIRONMENTAL SERVICES WITHIN AND AROUND VILLA",ONGOING,4229108872.0,111001001,STATE HOUSE - HQTRS,
12,ERGP27223756,"JULIUS BERGER LIABILITIES AND OTHER MAINTENANCE LIABILITIES OWED AS FROM 2022 TILL DATE, INCLUSIVE OF KADUNA WORK, RETENTION AND ADDITIONAL WORKS",ONGOING,8347076214.0,111001001,STATE HOUSE - HQTRS,
13,ERGP27223765,"ACQUISITION, RENOVATION AND REHABILITATION OF EFCC FORFEITED PROPERTIES TO BE USED AS STATE HOUSE QUARTERS IN ABUJA",ONGOING,1281548143.0,111001001,STATE HOUSE - HQTRS,
14,ERGP27223772,"PROVISION FOR THE ANNUAL MAINTENANCE OF THE PRESIDENTIAL VILLA, ABUJA FOR WORKS AS DIRECTED",ONGOING,3844644429.0,111001001,STATE HOUSE - HQTRS,
