code,ergp_line_item,mda_code,agency,mother_ministry, amount ,alignment,confidence,reason,mandate_deviation_score
ERGP1102191,"IT INFRASTRUCTURE AND ASSOCIATED EQUIPMENT
",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),,98175000,YES,HIGH,"IT infrastructure and associated equipment directly supports BPE's core functions of implementing privatisation policies, facilitating transactions, engaging with various professionals and stakeholders, and conducting post-transactional monitoring and evaluation activities.",0
ERGP1102209,"PURCHASE OF OFFICE FURNITURE AND FITTINGS FOR THE BUREAU'S WING B BUILDING
",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),,14907375,YES,HIGH,Office furniture and fittings are necessary administrative expenses that enable BPE to carry out its core mandate of implementing privatisation and commercialisation policies.,0
ERGP1205869,"PURCHASE OF LAP TOP AND DESKTOP COMPUTERS FOR BPE STAFF OFFICIAL USE
",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),,110726000,YES,HIGH,"Purchasing computers for staff official use is a necessary administrative expense that enables BPE to carry out its core mandate of implementing privatisation and commercialisation policies, engaging consultants, and conducting performance monitoring activities.",0
ERGP1205905,"REMODELING OF SECURITY HOUSE AND BPE MAIN ENTRANCE DOOR
",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),,14000000,PARTIAL,MEDIUM,"While the remodeling of BPE's main entrance door directly supports the agency's operational infrastructure, the ""Security House"" component lacks clear connection to BPE's privatisation and commercialisation mandate unless it's part of BPE's own facilities.",50
ERGP16234836,"""ACQUISITION OF BUREAU OF PUBLIC PROCUREMENT HEADQUARTER OFFICE IN ABUJA """,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),,14000000000,NO,HIGH,"The budget item refers to acquiring headquarters for the Bureau of Public Procurement, which is a completely different agency from the Bureau of Public Enterprises and falls outside BPE's mandate of privatisation and commercialisation.",100
ERGP7157033,"PURCHASE OF TOYOTA COASTER 30 SEAT FOR BPE OFFICIAL USE
",111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),,154662453,PARTIAL,MEDIUM,"While transportation vehicles could support BPE's operational activities like site visits for privatisation assessments and stakeholder meetings, the purchase of a 30-seat bus appears excessive for the Bureau's core functions of implementing privatisation policy and managing transactions.",50
ERGP15225464,DIRECT PURCHASE OF OPERATIONAL VEHICLES,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),,336000000,NO,HIGH,The Bureau of Public Procurement is a regulatory oversight body that monitors and certifies procurement processes rather than directly purchasing operational assets like vehicles for its own use.,100
ERGP15225544,PROVISION OF OFFICE FURNITURES AND FITTINGS,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),,38621836,YES,HIGH,"Office furniture and fittings are necessary operational resources required for the Bureau to carry out its statutory functions of monitoring, oversight, certification, and administration of public procurement activities.",0
ERGP15225564,PROCUREMENT OF PHOTOCOPIER MACHINE,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),,31500000,NO,HIGH,"The Bureau of Public Procurement regulates and oversees procurement processes but does not procure equipment for its own operations, as its mandate is to monitor and certify other agencies' procurement activities.",100
ERGP15225585,PROCUREMENT OF DESKTOP COMPUTERS AND LAPTOPS,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),,56000000,YES,HIGH,"The procurement of desktop computers and laptops falls directly within BPP's mandate as they are responsible for certifying federal procurement prior to contract award and ensuring transparent, competitive procurement practices for public goods.",0
