code,mda_code,agency,ergp_line_item,status,amount,mandate_alignment,alignment,reason,predicted_class,prob_outside,prob_within,flag_for_review
ERGP26102464,111001001,STATE HOUSE - HQTRS,PURCHASE OF SPORTING EQUIPMENT FOR STATE HOUSE SPORTS CLUB.,ONGOING,8970837.00,Within MDA Mandate,YES,Assessment pending,1,0.000501528,0.9994985,FALSE
ERGP26223957,111001001,STATE HOUSE - HQTRS,"PROCUREMENT /MAINTENANCE OF EQUIPMENT FOR THE
STATE HOUSE CENTRAL GYMNASIUM",ONGOING,11713350.00,Within MDA Mandate,YES,Assessment pending,1,0.000386192,0.9996138,FALSE
ERGP27101865,111001001,STATE HOUSE - HQTRS,"RENOVATION WORK ON 8 NO. BLOCKS OF 16 NO. 2 B/R
FLATS AT STATE HOUSE SECURITY QUARTERS.",ONGOING,84198642.00,Within MDA Mandate,YES,Assessment pending,1,0.000414895,0.9995851,FALSE
ERGP27201255,111001001,STATE HOUSE - HQTRS,CONSTRUCTION OF OFFICE COMPLEX FOR Sas and SSAs,ONGOING,1281548143.00,Within MDA Mandate,YES,Assessment pending,1,0.00051947,0.99948055,FALSE
ERGP27223750,111001001,STATE HOUSE - HQTRS,"ANNUAL ROUTINE MAINTENANCE OF MECHANICAL/ELECTRICAL INSTALLATION, BUILDING/CIVIL AND ENVIRONMENTAL SERVICES WITHIN AND AROUND VILLA FACILITIES (PRESIDENT/VP OFFICES/RESIDENCES, OLD AND NEW ADMIN COMPLEXES, VILLA POWER HOUSE, CONFERENCE CENTRE BANQUET HALL, AUDITORIUM, PRESIDENTIAL/MINISTERIAL LOUNGES AND CHALETS AT THE PRESIDENTIAL WING-AIRPORT ETC..",ONGOING,4229108872.00,Within MDA Mandate,YES,Assessment pending,1,0.000465513,0.9995345,FALSE
ERGP27223756,111001001,STATE HOUSE - HQTRS,"JULIUS BERGER LIABILITIES AND OTHER MAINTENANCE LIABILITIES OWED AS FROM 2022 TILL DATE, INCLUSIVE OF KADUNA WORK, RETENTION AND ADDITIONAL WORKS IN VIP WING) AND LIABILITIES ON VARIOUS WORKS OTHER THAN JBN E.G FCT WATER CHARGES, AEDC AND
SOLID/LIQUID WASTE DISPOSAL CHARGES",ONGOING,8347076214.00,Within MDA Mandate,YES,Assessment pending,1,0.001287615,0.9987124,FALSE
ERGP27223765,111001001,STATE HOUSE - HQTRS,"ACQUISITION, RENOVATION AND REHABILITATION OF EFCC FORFEITED PROPERTIES TO BE USED AS STATE HOUSE QUARTERS IN ABUJA",ONGOING,1281548143.00,Within MDA Mandate,YES,Assessment pending,1,0.000441796,0.99955815,FALSE
ERGP27223772,111001001,STATE HOUSE - HQTRS,"PROVISION FOR THE ANNUAL MAINTENANCE OF THE
PRESIDENTIAL VILLA, ABUJA FOR WORKS AS DIRECTED",ONGOING,3844644429.00,Within MDA Mandate,YES,Assessment pending,1,0.000414079,0.9995859,FALSE
ERGP27223952,111001001,STATE HOUSE - HQTRS,RENOVATION O 4 NOS (SH ARMY) RESIDENCE ALONG ALI AKILU CRESCENT (UPPER AND LOWER ARTILLERY QUARTERS,,373894285.00,Within MDA Mandate,YES,Assessment pending,1,0.000417314,0.9995827,FALSE
ERGP27223960,111001001,STATE HOUSE - HQTRS,"PROVISION OF FACILITY MANAGEMENT SERVICES FOR STATE HOUSE GYMNASIUM, AUDITORIUM COMPLEXES, VP GUEST HOUSE ASOKORO, CENTRAL STORE AND HOUSES ALONG IBRAHIM TAIWO STREET",ONGOING,51345995.00,Within MDA Mandate,YES,Assessment pending,1,0.000416106,0.9995839,FALSE
ERGP27234833,111001001,STATE HOUSE - HQTRS,SOLARIZATION OF THE VIILLA WITH WITH SOLAR MINI GRID,ONGOING,7000000000.00,Within MDA Mandate,YES,Assessment pending,1,0.00042243,0.9995776,FALSE
