code,ergp_line_item,mda_code,agency,mother_ministry,amount,alignment,confidence,reason,mandate_deviation_score
ERGP10175045,PROVISION AND INSTALLATION OF SOLAR POWERED STREETLIGHT IN RURAL COMMUNITIES IN THE 6 GEO-POLITICAL ZONES,215001001,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,NO,HIGH,"The budget item covers all 6 geo-political zones while the agency's mandate is specifically limited to the North-East zone (6 states: Adamawa, Bauchi, Borno, Gombe, Taraba, and Yobe).",100
ERGP1208767,ESTABLISHMENT OF AGRICULTURAL MARKETING INCUBATION CENTRES FOR YOUTH AND WOMEN ACROSS THE SIX GEO-POLITICAL ZONES,215001001,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,455000000.0,NO,HIGH,"The agency mandate is specifically for North-East development and reconstruction, but the budget item covers all six geo-political zones of Nigeria, which extends far beyond the agency's geographical scope.",100
ERGP1208771,FOOD SECURITY CROPS VALUE CHAINS DEVELOPMENT PROGRAMS,215001001,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1494891133.0,NO,HIGH,"The agency mandate describes the North East Development Commission focused on post-insurgency reconstruction and rehabilitation, but the agency name indicates the Federal Ministry of Agriculture and Food Security, creating a clear mismatch where food security programs would align with the ministry name but not the stated NEDC mandate.",100
ERGP1208772,FOOD SECURITY CROPS VALUE CHAINS DEVELOPMENT PROGRAMS ON CASH CROPS,215001001,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1806314570.0,NO,HIGH,"The agency mandate describes the North East Development Commission focused on insurgency victim rehabilitation and reconstruction, but the agency name is Federal Ministry of Agriculture and Food Security, creating a clear mismatch where the budget item aligns with the agency name but not the stated mandate.",100
ERGP1208802,PROVISION FOR ENHANCED STRATEGIC FOOD RESERVE FOR FOOD SECURITY AND MARKET STABILIZATION,215001001,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1862000000.0,NO,HIGH,"The agency mandate describes the North East Development Commission focused on post-insurgency reconstruction and rehabilitation, while the agency name indicates the Federal Ministry of Agriculture, creating a complete mismatch with a food security budget item that would align with agricultural ministry functions but not commission mandates.",100
ERGP12175035,CONSTRUCTION OF FEEDER ROADS IN RURAL COMMUNITIES IN THE 6 GEO-POLITICAL ZONES,215001001,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,2514893597.0,NO,HIGH,"The budget item covers all 6 geo-political zones while the agency's mandate is specifically limited to the North-East zone comprising only 6 states (Adamawa, Bauchi, Borno, Gombe, Taraba, and Yobe).",100
ERGP16193867,IMPLEMENTATION OF MANPOWER DEVELOPMENT STRATEGIES TO IMPROVE AGRICULTURAL PRODUCTIVITY,215001001,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210700000.0,NO,HIGH,"The agency mandate describes the North East Development Commission focused on insurgency rehabilitation and reconstruction, not the Federal Ministry of Agriculture and Food Security which should handle agricultural productivity and manpower development.",100
ERGP16231491,"IMPLEMENTATION OF FCSSIP POLICY TO ENHANCE FOOD SECURITY
",215001001,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,372400000.0,NO,HIGH,"The agency mandate described is for the North East Development Commission focused on insurgency rehabilitation, but the agency name is Federal Ministry of Agriculture and Food Security, creating a complete mismatch between the stated mandate and the agricultural budget item.",100
ERGP18208797,REHABILITATION AND CALIBRATION OF FGN RETAINED SILO COMPLEXES IN READINESS FOR STRATEGIC FOOD RESERVE STOCKING FOR FOOD SECURITY,215001001,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,504000000.0,NO,HIGH,"The agency mandate describes the North East Development Commission focused on insurgency rehabilitation in six specific states, but the agency name indicates the Federal Ministry of Agriculture and Food Security, creating a clear mismatch where the budget item aligns with the ministry name but not the stated mandate.",100
ERGP27105258,"INFRASTRUCTURES AND PROJECTS SUPPORT COORDINATION
",215001001,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,672210000.0,NO,HIGH,"The agency mandate provided is for the North East Development Commission (focused on insurgency rehabilitation in six northeastern states), but the budget is allocated to the Federal Ministry of Agriculture and Food Security, which has a completely different mandate focused on agriculture and food security nationwide.",100
