code,ergp_line_item,mda_code,agency,mother_ministry,amount,alignment,confidence,reason,mandate_deviation_score
ERGP15172225,"COMPUTERISATION OF THE INTERNAL AUDIT DEPARTMENT OFFICES
",123001001.0,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION - HQTRS,,15559347.0,PARTIAL,MEDIUM,"While computerization of internal audit departments is not explicitly within the Ministry's core mandate of information dissemination and national orientation, it supports administrative efficiency needed for the Ministry to effectively carry out its statutory functions.",50
ERGP15172263,"ESTABLISHMENT OF CONDUCT OF CORRUPTION INDEX
",123001001.0,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION - HQTRS,,7125580.0,PARTIAL,MEDIUM,"While establishing a corruption index is not explicitly within the Ministry's core information and communication mandate, it could relate to their statutory function of coordinating national campaigns on critical issues including anti-corruption (function t).",50
ERGP16172270,"CAPACITY BUILDING FOR INFORMATION, ADMIN AND ACCOUNT STAFF
",123001001.0,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION - HQTRS,,15680000.0,YES,HIGH,"Capacity building for information, admin and account staff directly supports the Ministry's core mandate of government communication and information dissemination by ensuring staff have necessary skills to effectively manage official information flow and coordinate government communication strategy.",0
ERGP16204356,"DIGITIZATION OF VOTE BOOKS, CASH BOOKS, FIXED ASSETS REGISTERS, ADVANCES LEDGERS ETC BY FINANCE AND ACCOUNTS DEPARTMENT",123001001.0,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION - HQTRS,,13860000.0,NO,HIGH,"Digitization of internal financial records and accounting systems is an administrative function outside the Ministry's core mandate of government communication, public information dissemination, and national orientation.",100
ERGP16204392,"ATTENDANCE OF NATIONAL COUNCIL ON IMATION
",123001001.0,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION - HQTRS,,3871658.0,YES,HIGH,Attending the National Council on Information directly aligns with the Ministry's core mandate to coordinate government communication strategy and disseminate information about federal government policies and programmes.,0
ERGP16204441,"PRODUCTION AND DISTRIBUTION OF SERVICOM PUBLICITY MATERIALS
",123001001.0,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION - HQTRS,,7700000.0,YES,HIGH,"SERVICOM publicity materials production and distribution directly aligns with the Ministry's mandate to disseminate government policy information and coordinate public enlightenment campaigns, as SERVICOM is a government service delivery improvement initiative requiring public awareness.",0
ERGP17172214,"PROCUREMENT OF ELECTRONIC LAW LIBRARY
",123001001.0,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION - HQTRS,,21318693.0,NO,HIGH,"Procurement of electronic law library falls outside the Ministry's core mandate of government communication, public information dissemination, media regulation, and national orientation, as legal research resources are not within their statutory functions.",100
ERGP22172793,"PURCHASE AND REHABILITATION OF REPOSITORY EQUIPMENT AND MATERIALS
",123001001.0,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION - HQTRS,,27919500.0,YES,HIGH,"Repository equipment and materials are essential for the Ministry's core mandate of information dissemination and government communication, as they enable proper storage, management and retrieval of official information, media content, and communication materials needed for public broadcasting and information services.",0
ERGP22193813,"PARTICIPATION AT THE UNESCO GLOBAL MIL WEEK AND FEATURE CONFERENCE
",123001001.0,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION - HQTRS,,9800000.0,YES,HIGH,"UNESCO Global Media and Information Literacy (MIL) Week directly aligns with the Ministry's mandate to counter misinformation, promote civic education, and coordinate government's digital communication strategy while facilitating international cooperation in media development.",0
ERGP22204266,"WORLD PRESS FREEDOM CELEBRATION
",123001001.0,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION - HQTRS,,3920000.0,YES,HIGH,"World Press Freedom Celebration directly aligns with the Ministry's statutory function to promote press freedom and protect journalists' rights, as well as facilitate media access to government information.",0
