code,ergp_line_item,mda,mother_ministry,amount,similarity_score,mandate_deviation_score
ERGP10175045,PROVISION AND INSTALLATION OF SOLAR POWERED STREETLIGHT IN RURAL COMMUNITIES IN THE 6 GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,0.1947,80.53
ERGP1208767,ESTABLISHMENT OF AGRICULTURAL MARKETING INCUBATION CENTRES FOR YOUTH AND WOMEN ACROSS THE SIX GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,455000000.0,0.2792,72.08
ERGP1208771,FOOD SECURITY CROPS VALUE CHAINS DEVELOPMENT PROGRAMS,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1494891133.0,0.2154,78.46
ERGP1208772,FOOD SECURITY CROPS VALUE CHAINS DEVELOPMENT PROGRAMS ON CASH CROPS,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1806314570.0,0.1729,82.71
ERGP1208802,PROVISION FOR ENHANCED STRATEGIC FOOD RESERVE FOR FOOD SECURITY AND MARKET STABILIZATION,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1862000000.0,0.1785,82.15
ERGP12175035,CONSTRUCTION OF FEEDER ROADS IN RURAL COMMUNITIES IN THE 6 GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,2514893597.0,0.3269,67.31
ERGP16193867,IMPLEMENTATION OF MANPOWER DEVELOPMENT STRATEGIES TO IMPROVE AGRICULTURAL PRODUCTIVITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210700000.0,0.2719,72.81
ERGP16231491,"IMPLEMENTATION OF FCSSIP POLICY TO ENHANCE FOOD SECURITY
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,372400000.0,0.1824,81.76
ERGP18208797,REHABILITATION AND CALIBRATION OF FGN RETAINED SILO COMPLEXES IN READINESS FOR STRATEGIC FOOD RESERVE STOCKING FOR FOOD SECURITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,504000000.0,0.1439,85.61
ERGP27105258,"INFRASTRUCTURES AND PROJECTS SUPPORT COORDINATION
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,672210000.0,0.3293,67.07
