code,ergp_line_item,mda,mother_ministry,amount,similarity_score,mandate_deviation_score
ERGP10175045,PROVISION AND INSTALLATION OF SOLAR POWERED STREETLIGHT IN RURAL COMMUNITIES IN THE 6 GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,0.2465,75.35
ERGP1208767,ESTABLISHMENT OF AGRICULTURAL MARKETING INCUBATION CENTRES FOR YOUTH AND WOMEN ACROSS THE SIX GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,455000000.0,0.3457,65.43
ERGP1208771,FOOD SECURITY CROPS VALUE CHAINS DEVELOPMENT PROGRAMS,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1494891133.0,0.3128,68.72
ERGP1208772,FOOD SECURITY CROPS VALUE CHAINS DEVELOPMENT PROGRAMS ON CASH CROPS,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1806314570.0,0.2698,73.02
ERGP1208802,PROVISION FOR ENHANCED STRATEGIC FOOD RESERVE FOR FOOD SECURITY AND MARKET STABILIZATION,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1862000000.0,0.2674,73.26
ERGP12175035,CONSTRUCTION OF FEEDER ROADS IN RURAL COMMUNITIES IN THE 6 GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,2514893597.0,0.4265,57.35
ERGP16193867,IMPLEMENTATION OF MANPOWER DEVELOPMENT STRATEGIES TO IMPROVE AGRICULTURAL PRODUCTIVITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210700000.0,0.2438,75.62
ERGP16231491,"IMPLEMENTATION OF FCSSIP POLICY TO ENHANCE FOOD SECURITY
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,372400000.0,0.3404,65.96
ERGP18208797,REHABILITATION AND CALIBRATION OF FGN RETAINED SILO COMPLEXES IN READINESS FOR STRATEGIC FOOD RESERVE STOCKING FOR FOOD SECURITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,504000000.0,0.2188,78.12
ERGP27105258,"INFRASTRUCTURES AND PROJECTS SUPPORT COORDINATION
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,672210000.0,0.356,64.4
ERGP27174747,"UPGRADE OF FACILITIES IN THE HEADQUARTERS BUILDING (OLD) AND STATE OFFICES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,525000000.0,0.3776,62.24
ERGP27174760,"CONSTRUCTION OF FMARD HEADQUARTERS OFFICE COMPLEX
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,5670000000.0,0.2181,78.19
ERGP27231566,"CONSTRUCTION OF PUBLIC TOILETS, RURAL MARKETS AND HOUSING INFRASTRUCTURES IN THE SIX GEO-POLITICAL ZONES",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,764893597.0,0.4027,59.73
ERGP28175039,PROVISION OF PORTABLE WATER IN RURAL COMMUNITIES IN THE 6 GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1050000000.0,0.2555,74.45
ERGP30105248,"CONTRIBUTION TO INTERNATIONAL ORGANIZATIONS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,117788792.0,0.331,66.9
ERGP30126578,"RESEARCH ON HUMAN CAPITAL DEVELOPMENT IN AGRICULTURE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,385000000.0,0.1899,81.01
ERGP30159116,"COUNTERPART FUNDING OF AGRICULTURAL PROJECTS WITH DONOR AGENCIES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,511649483.0,0.3231,67.69
ERGP30174655,"SURVEYING AND MAPPING OF ACQUIRED MINISTRY'S LANDS AND FACILITIES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,50575907.0,0.3303,66.97
ERGP30174685,"IMPLEMENTATION OF AGRICULTURAL FOOD SECURITY PROGRAMS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.3546,64.54
ERGP30174912,"NATIONAL COUNCIL ON AGRICULTURE AND RURAL DEVELOPMENT
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,129799968.0,0.4909,50.91
ERGP30175085,"MAINSTREAMING GENDER IN AGRIBUSINESS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,607517786.0,0.108,89.2
ERGP30175109,NATIONAL PROGRAMME FOR THE CONTROL OF TRANSBOUNDARY PESTS AND INTEGRATED PESTS SURVEILLANCE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.2808,71.92
ERGP30193870,INFRASTRUCUTURES DEVELOPMENT IN THE 37 FIELD AND 6 ZONAL COORDINATING OFFICES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.5205,47.95
ERGP30208758,"AGRICULTURE AND FOOD SECURITY STAKEHOLDERS' ANALYSIS AND MAPPING STUDY
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,35209245.0,0.3145,68.55
ERGP30208761,REVIEW OF EXISTING AGRICULTURAL LAWS AND DRAFTING OF NEW ONES TO SUPPORT AGRIBUSINESS AND INVESTMENTS FOR AGRICULTURAL DEVELOPMENT AND FOOD AND,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.327,67.3
ERGP30208768,INSTITUTIONALIZING THE NIGERIAN FOOD SYSTEM DASHBOARD ON THE STATE OF FOOD AND NUTRITION IN THE COUNTRY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1750000000.0,0.4658,53.42
ERGP30208769,DEVELOPMENT OF DIGITAL MOBILE-BASED EXTENSION AND ADVISORY SYSTEM TO SUPPORT FARMERS PRODUCTIVITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,175699773.0,0.1889,81.11
ERGP30208770,DEVELOPMENT AND IMPLEMENTATION OF THE NATIONAL FARMERS SOIL HEALTH CARD SCHEME TO INCREASE PRODUCTIVITY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,840000000.0,0.302,69.8
